企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
常州市广裕层压板有限公司,91320412250924505H,1981-02-19,N/A,壮金欣,"778(万元人民币)","覆铜箔板、绝缘纸制品、机械零部件制造，加工；自营和代理各类商品及技术的进出口业务，国家限定公司经营或禁止进出口的商品及技术除外。",江苏,常州,"武进区湖塘镇范家村"
常州市武进第一耐火材料有限公司,913204122509256981,1981-02-19,N/A,张耀方,"2,000(万元人民币)","耐火材料、铝硅碳砖、火泥、塑料薄膜制造，织布；自营和代理各类商品及技术的进出口业务，但国家限定企业经营和禁止进出口的商品及技术除外。",江苏,常州,"武进高新技术产业开发区星火路"
常州市武进继电器厂,91320412250926121Y,1981-02-19,集体所有制,邓兴华,"355万人民币","继电器、电磁铁、内燃机配附件、减速机、微波炉配件、电感器和电子设备变压器、切割焊接器具、太阳能电池风帽、模具、塑料工业配件的制造。",江苏,常州,"武进区湖塘镇湖塘街188号"
常州市武进湖塘模具有限公司,91320412250926156H,1981-02-19,N/A,恽建文,"580(万元人民币)","模具、钢印（除公章）、花辊、五金件、塑料制品",江苏,常州,"武进区湖塘镇大华村"
常州市武进工艺雕刻有限公司,9132041225094037XA,1981-02-19,N/A,孙达铭,"70(万元人民币)","红木制品、牙雕工艺品、麻将牌制造。",江苏,常州,"武进区牛塘镇青云村"
苏州津津投资实业有限公司,9132050813769797X6,1981-02-19,N/A,堵百桢,"3,000(万元人民币)","对长发商厦有限公司进行投资、商业管理。",江苏,苏州,"苏州市平江区临顿路101-141号"
苏州花线厂有限公司,91320508137708333K,1981-02-19,N/A,韩小平,"50(万元人民币)","制造、销售：绣花线、十字线、缝纫线、针织线、针织品；销售：染料、助剂（除危险品）、丝绸产品、纺织原料",江苏,苏州,"苏州市南环西路"
常州市宏驰电机有限公司,91320412250925073D,1981-02-19,有限责任公司,李惠民,"60万人民币","起动电机、换向器、起动机电枢、起动机机壳制造，机械零部件加工。",江苏,常州,"江苏武进经济开发区长汀村"
常州市沈家塑料编织厂,91320412628302821K,1981-02-19,个人独资企业,陈美华,"42.7万人民币","聚乙烯、聚丙烯、聚氯乙烯编织袋及薄膜，塑料制品，有机玻璃制品制造、加工。",江苏,常州,"武进区牛塘镇沈家村"
常州市青龙塑料制品有限公司,91320402137323521W,1981-02-20,有限责任公司,朱爱珍,"50万人民币","聚乙烯制品制造、加工。",江苏,常州,"常州市天宁区青洋北路221号"
常州市亚利纳助剂有限公司,913204022510131991,1981-02-20,N/A,师峻岭,"55(万元人民币)","化工产品及化学原料",江苏,常州,"天宁区郑陆镇焦溪舜溪北路"
常州市青龙交通服务有限公司,9132040213732134XU,1981-02-20,N/A,毛一菠,"30(万元人民币)","普通货运；拖拉机运输、装卸，搬运货物。",江苏,常州,"天宁区青龙高士桥西首"
苏州英达服装设备辅料有限公司,91320508137707146B,1981-02-20,N/A,王国富,"50(万元人民币)","批发、零售：服装设备、服饰辅料、针纺织品、日用百货、服装鞋帽、五金交电、非危险化工产品、建筑材料、办公用品、劳保用品、塑料制品、服装设计。",江苏,苏州,"苏州市颜家巷41号"
常州市杰成锚链有限公司,91320412250970173M,1981-02-20,N/A,杨杰,"80(万元人民币)","铁环链、盘环轧制、机械零部件、工业用塑料配件及包装用品、抛光用设备、针纺织品制造，加工。",江苏,常州,"武进区遥观镇前杨村"
常州市东方彩印有限公司,9132041213727730XN,1981-02-20,有限责任公司,蒋小鹏,"50万人民币","其他印刷品印刷；复合铝箔纸、纸盒制造、加工。",江苏,常州,"常州市新北区薛家工业园"
无锡市长街彩印厂有限公司,913202031361142504,1981-02-20,有限责任公司,张剑娟,"50万人民币","其他印刷品印刷。",江苏,无锡,"无锡市南长区南长街272号"
